timestamp,host,label,k,n,rate,m,num_codewords,ebno_db,num_iter,repeat,cpu_latency_s,cpu_throughput_mbps,gpu_latency_s,gpu_throughput_mbps,latency_speedup_cpu_over_gpu,throughput_speedup_gpu_over_cpu
2026-03-04T15:46:52,IS-WiN-PC14,rep2_N6144_I12,512,1024,0.5,4,6144,4.0,12,10,1.5150175997056068,2.0763639977590147,0.11272379050496965,27.906513664134764,13.44008742891603,13.44008742891603
2026-03-04T15:47:17,IS-WiN-PC14,rep2_N6144_I14,512,1024,0.5,4,6144,4.0,14,10,1.7644776009023189,1.782809823367175,0.13115739671047777,23.984373576307018,13.453130705219007,13.453130705219008
2026-03-04T15:47:45,IS-WiN-PC14,rep2_N6144_I16,512,1024,0.5,4,6144,4.0,16,10,2.0161390386056155,1.5602733441318715,0.14952035241294653,21.038794714127633,13.484044185753563,13.484044185753564
2026-03-04T15:48:16,IS-WiN-PC14,rep2_N6144_I18,512,1024,0.5,4,6144,4.0,18,10,2.265739184990525,1.3883892818904284,0.16823105588555337,18.69885428371811,13.468019760465003,13.468019760465006
2026-03-04T15:48:49,IS-WiN-PC14,rep2_N6144_I20,512,1024,0.5,4,6144,4.0,20,10,2.5186820927076043,1.248957940784943,0.18694914760999382,16.826650670601065,13.472551893962004,13.472551893962002
2026-03-04T15:49:26,IS-WiN-PC14,rep2_N6144_I22,512,1024,0.5,4,6144,4.0,22,10,2.7640343741048126,1.138092937436354,0.20580034288577737,15.285338964405573,13.430659712937883,13.430659712937883
2026-03-04T15:49:39,IS-WiN-PC14,rep2_N8192_I4,512,1024,0.5,4,8192,4.0,4,10,0.7189113269094378,5.834243867085936,0.05098903670441359,82.25893782450969,14.09933141269188,14.09933141269188
2026-03-04T15:49:55,IS-WiN-PC14,rep2_N8192_I6,512,1024,0.5,4,8192,4.0,6,10,1.0686253459891304,3.9249527589276014,0.07593649658374488,55.23436277277297,14.072618491302409,14.072618491302409
2026-03-04T15:50:16,IS-WiN-PC14,rep2_N8192_I8,512,1024,0.5,4,8192,4.0,8,10,1.4198878397000954,2.9539685338004644,0.10122445449233056,41.435678967455324,14.027122663404183,14.027122663404185
2026-03-04T15:50:41,IS-WiN-PC14,rep2_N8192_I10,512,1024,0.5,4,8192,4.0,10,10,1.767387544712983,2.3731659830618184,0.12604303460102528,33.2767614908399,14.022096106361172,14.02209610636117
2026-03-04T15:51:10,IS-WiN-PC14,rep2_N8192_I12,512,1024,0.5,4,8192,4.0,12,10,2.1150297267129643,1.9830945858706688,0.15052815438248218,27.863917000819317,14.050725164269352,14.050725164269354
2026-03-04T15:51:43,IS-WiN-PC14,rep2_N8192_I14,512,1024,0.5,4,8192,4.0,14,10,2.464815584407188,1.7016705130127496,0.17587095310445874,23.84875913823466,14.014910028623136,14.014910028623135
2026-03-04T15:52:20,IS-WiN-PC14,rep2_N8192_I16,512,1024,0.5,4,8192,4.0,16,10,2.8165765607962383,1.4891496501036996,0.2002375802025199,20.94663746814104,14.066173582139568,14.06617358213957
2026-03-04T15:53:02,IS-WiN-PC14,rep2_N8192_I18,512,1024,0.5,4,8192,4.0,18,10,3.1654495920054613,1.3250263124053447,0.22564625469967722,18.587961965432964,14.028371958659367,14.028371958659367
2026-03-04T15:53:47,IS-WiN-PC14,rep2_N8192_I20,512,1024,0.5,4,8192,4.0,20,10,3.511290648812428,1.1945191724355195,0.2501640469999984,16.766214211429137,14.035952371734899,14.035952371734897
2026-03-04T15:54:37,IS-WiN-PC14,rep2_N8192_I22,512,1024,0.5,4,8192,4.0,22,10,3.86009254748933,1.0865812019787056,0.2749646503012627,15.253975357939813,14.038504743282644,14.038504743282642
2026-03-04T15:54:51,IS-WiN-PC14,rep2_N10240_I4,512,1024,0.5,4,10240,4.0,4,10,0.9228679695166647,5.681072670390612,0.06378646921366453,82.19423436713525,14.468083606028552,14.46808360602855
2026-03-04T15:55:12,IS-WiN-PC14,rep2_N10240_I6,512,1024,0.5,4,10240,4.0,6,10,1.370085721393116,3.826680271267254,0.09535212970804423,54.98440376793904,14.368695545533587,14.368695545533585
2026-03-04T15:55:37,IS-WiN-PC14,rep2_N10240_I8,512,1024,0.5,4,10240,4.0,8,10,1.818373493407853,2.8832800406555674,0.1257628374034539,41.688626849126834,14.458750541500697,14.458750541500695
2026-03-04T16:34:47,IS-WiN-PC14,rep2_N10240_I10,512,1024,0.5,4,10240,4.0,10,10,2.2619888733839617,2.317818651405031,0.15689138278830797,33.41725916887461,14.417546924396998,14.417546924397
2026-03-04T16:35:23,IS-WiN-PC14,rep2_N10240_I12,512,1024,0.5,4,10240,4.0,12,10,2.716562148602679,1.92996873003505,0.19003406730480493,27.5891584827824,14.295132378793179,14.29513237879318
2026-03-04T16:36:04,IS-WiN-PC14,rep2_N10240_I14,512,1024,0.5,4,10240,4.0,14,10,3.1625549762975425,1.657798849124808,0.22555031958036126,23.244835164740326,14.021505188649297,14.021505188649297
2026-03-04T16:36:51,IS-WiN-PC14,rep2_N10240_I16,512,1024,0.5,4,10240,4.0,16,10,3.624419617303647,1.4465433237833514,0.25015735840424896,20.9583281237229,14.488558883191683,14.488558883191685
2026-03-04T16:37:43,IS-WiN-PC14,rep2_N10240_I18,512,1024,0.5,4,10240,4.0,18,10,4.056730493204668,1.2923905122073607,0.2810540057020262,18.65435074267722,14.433989236593975,14.433989236593977
2026-03-04T16:38:40,IS-WiN-PC14,rep2_N10240_I20,512,1024,0.5,4,10240,4.0,20,10,4.501359781483188,1.1647324929607121,0.3124863383825868,16.777949484565873,14.404981045833857,14.404981045833855
2026-03-04T16:39:42,IS-WiN-PC14,rep2_N10240_I22,512,1024,0.5,4,10240,4.0,22,10,4.947077670600265,1.0597933465159934,0.3437007733853534,15.2541990184053,14.393559903496808,14.393559903496806
2026-03-04T16:39:59,IS-WiN-PC14,rep2_N12288_I4,512,1024,0.5,4,12288,4.0,4,10,1.1242953689070418,5.595910268772249,0.07626634389162064,82.49321625985588,14.74169747149198,14.741697471491984
2026-03-04T16:40:23,IS-WiN-PC14,rep2_N12288_I6,512,1024,0.5,4,12288,4.0,6,10,1.6716033855918795,3.7637253275676565,0.11392070520669222,55.226624419020986,14.673393941505218,14.673393941505216
2026-03-04T16:40:53,IS-WiN-PC14,rep2_N12288_I8,512,1024,0.5,4,12288,4.0,8,10,2.2162117967847736,2.838833368330361,0.15075299059972166,41.73354024335764,14.70094747685135,14.700947476851349
2026-03-04T16:41:30,IS-WiN-PC14,rep2_N12288_I10,512,1024,0.5,4,12288,4.0,10,10,2.762296950398013,2.277617545461026,0.18762923269532622,33.53132083749505,14.722103324290899,14.7221033242909
2026-03-04T16:42:13,IS-WiN-PC14,rep2_N12288_I12,512,1024,0.5,4,12288,4.0,12,10,3.312074482487515,1.899551484504913,0.2248018461978063,27.986674070568174,14.73330641409935,14.733306414099347
2026-03-04T16:43:02,IS-WiN-PC14,rep2_N12288_I14,512,1024,0.5,4,12288,4.0,14,10,3.855340257799253,1.6318808663573983,0.2622067229822278,23.994258913134086,14.703437859831554,14.703437859831554
