timestamp, utilization.gpu [%], power.draw [W]
2026/03/03 10:58:16.989, 27 %, 11.15 W
2026/03/03 10:58:17.989, 4 %, 11.20 W
2026/03/03 10:58:18.990, 4 %, 11.60 W
2026/03/03 10:58:19.990, 4 %, 11.68 W
2026/03/03 10:58:20.990, 4 %, 11.35 W
2026/03/03 10:58:21.991, 7 %, 10.95 W
2026/03/03 10:58:22.991, 4 %, 10.85 W
2026/03/03 10:58:23.992, 4 %, 10.65 W
2026/03/03 10:58:24.992, 4 %, 10.85 W
2026/03/03 10:58:25.992, 4 %, 10.63 W
2026/03/03 10:58:26.992, 6 %, 10.64 W
2026/03/03 10:58:27.993, 3 %, 11.28 W
2026/03/03 10:58:28.993, 12 %, 10.75 W
2026/03/03 10:58:29.993, 6 %, 11.97 W
2026/03/03 10:58:30.994, 4 %, 10.68 W
2026/03/03 10:58:31.994, 5 %, 7.94 W
2026/03/03 10:58:32.995, 12 %, 6.35 W
2026/03/03 10:58:33.995, 0 %, 10.05 W
2026/03/03 10:58:34.995, 0 %, 10.29 W
2026/03/03 10:58:35.995, 0 %, 10.28 W
2026/03/03 10:58:36.996, 9 %, 11.76 W
2026/03/03 10:58:37.996, 4 %, 11.18 W
2026/03/03 10:58:38.996, 5 %, 11.66 W
2026/03/03 10:58:39.997, 4 %, 11.84 W
2026/03/03 10:58:40.997, 4 %, 10.86 W
2026/03/03 10:58:41.997, 5 %, 10.89 W
2026/03/03 10:58:42.997, 3 %, 10.87 W
2026/03/03 10:58:43.997, 4 %, 10.62 W
2026/03/03 10:58:44.998, 4 %, 10.94 W
2026/03/03 10:58:45.998, 4 %, 10.67 W
2026/03/03 10:58:46.999, 4 %, 10.68 W
2026/03/03 10:58:47.999, 4 %, 10.82 W
2026/03/03 10:58:48.999, 4 %, 11.14 W
2026/03/03 10:58:50.000, 5 %, 10.92 W
2026/03/03 10:58:51.000, 20 %, 11.28 W
2026/03/03 10:58:52.000, 4 %, 11.53 W
2026/03/03 10:58:53.001, 4 %, 10.65 W
2026/03/03 10:58:54.001, 7 %, 8.46 W
2026/03/03 10:58:55.001, 5 %, 5.57 W
2026/03/03 10:58:56.002, 6 %, 5.59 W
2026/03/03 10:58:57.002, 6 %, 5.55 W
2026/03/03 10:58:58.002, 5 %, 5.65 W
2026/03/03 10:58:59.003, 11 %, 5.55 W
2026/03/03 10:59:00.003, 5 %, 5.63 W
2026/03/03 10:59:01.003, 6 %, 5.61 W
2026/03/03 10:59:02.004, 0 %, 9.51 W
2026/03/03 10:59:03.005, 0 %, 10.23 W
2026/03/03 10:59:04.005, 0 %, 10.23 W
2026/03/03 10:59:05.005, 22 %, 10.43 W
2026/03/03 10:59:06.006, 4 %, 11.81 W
2026/03/03 10:59:07.006, 5 %, 11.56 W
2026/03/03 10:59:08.006, 4 %, 11.72 W
2026/03/03 10:59:09.006, 4 %, 11.63 W
2026/03/03 10:59:10.007, 5 %, 10.84 W
2026/03/03 10:59:11.007, 2 %, 10.54 W
2026/03/03 10:59:12.007, 4 %, 10.59 W
2026/03/03 10:59:13.007, 5 %, 10.68 W
2026/03/03 10:59:14.008, 5 %, 10.71 W
2026/03/03 10:59:15.008, 4 %, 10.89 W
2026/03/03 10:59:16.009, 5 %, 10.70 W
2026/03/03 10:59:17.009, 5 %, 10.72 W
2026/03/03 10:59:18.009, 3 %, 10.77 W
2026/03/03 10:59:19.009, 4 %, 10.83 W
2026/03/03 10:59:20.010, 19 %, 11.43 W
2026/03/03 10:59:21.010, 5 %, 11.25 W
2026/03/03 10:59:22.010, 4 %, 11.02 W
2026/03/03 10:59:23.010, 6 %, 8.53 W
2026/03/03 10:59:24.011, 4 %, 8.49 W
2026/03/03 10:59:25.011, 0 %, 10.30 W
2026/03/03 10:59:26.012, 0 %, 10.28 W
2026/03/03 10:59:27.012, 27 %, 10.70 W
2026/03/03 10:59:28.012, 5 %, 11.59 W
2026/03/03 10:59:29.014, 4 %, 11.47 W
2026/03/03 10:59:30.015, 4 %, 11.72 W
2026/03/03 10:59:31.015, 4 %, 10.98 W
2026/03/03 10:59:32.015, 2 %, 10.51 W
2026/03/03 10:59:33.016, 7 %, 11.32 W
2026/03/03 10:59:34.016, 5 %, 11.00 W
2026/03/03 10:59:35.016, 4 %, 10.68 W
2026/03/03 10:59:36.017, 4 %, 10.64 W
2026/03/03 10:59:37.018, 4 %, 10.67 W
2026/03/03 10:59:38.018, 4 %, 10.60 W
2026/03/03 10:59:39.019, 4 %, 10.93 W
2026/03/03 10:59:40.019, 5 %, 10.71 W
2026/03/03 10:59:41.020, 4 %, 11.09 W
2026/03/03 10:59:42.020, 4 %, 10.84 W
2026/03/03 10:59:43.020, 17 %, 10.87 W
2026/03/03 10:59:44.021, 4 %, 11.90 W
2026/03/03 10:59:45.021, 4 %, 10.71 W
2026/03/03 10:59:46.021, 6 %, 8.38 W
2026/03/03 10:59:47.022, 5 %, 5.63 W
2026/03/03 10:59:48.022, 0 %, 9.19 W
2026/03/03 10:59:49.022, 0 %, 10.27 W
2026/03/03 10:59:50.023, 0 %, 10.27 W
2026/03/03 10:59:51.023, 29 %, 11.28 W
2026/03/03 10:59:52.023, 5 %, 11.35 W
2026/03/03 10:59:53.023, 4 %, 11.68 W
2026/03/03 10:59:54.023, 4 %, 11.74 W
2026/03/03 10:59:55.024, 4 %, 11.12 W
2026/03/03 10:59:56.024, 6 %, 11.08 W
2026/03/03 10:59:57.024, 4 %, 10.82 W
2026/03/03 10:59:58.024, 5 %, 10.67 W
2026/03/03 10:59:59.025, 4 %, 10.66 W
2026/03/03 11:00:00.025, 5 %, 11.10 W
2026/03/03 11:00:01.026, 4 %, 10.63 W
2026/03/03 11:00:02.026, 5 %, 10.72 W
2026/03/03 11:00:03.027, 5 %, 11.37 W
2026/03/03 11:00:04.027, 4 %, 10.71 W
2026/03/03 11:00:05.027, 19 %, 11.52 W
2026/03/03 11:00:06.028, 4 %, 11.23 W
2026/03/03 11:00:07.028, 5 %, 8.52 W
2026/03/03 11:00:08.028, 4 %, 5.52 W
2026/03/03 11:00:09.029, 6 %, 5.33 W
2026/03/03 11:00:10.029, 6 %, 5.73 W
2026/03/03 11:00:11.029, 6 %, 5.35 W
2026/03/03 11:00:12.030, 5 %, 5.30 W
2026/03/03 11:00:13.030, 5 %, 5.31 W
2026/03/03 11:00:14.030, 0 %, 10.18 W
2026/03/03 11:00:15.030, 0 %, 10.24 W
2026/03/03 11:00:16.031, 0 %, 10.24 W
2026/03/03 11:00:17.031, 39 %, 11.55 W
2026/03/03 11:00:18.031, 5 %, 11.27 W
2026/03/03 11:00:19.032, 4 %, 11.73 W
2026/03/03 11:00:20.032, 4 %, 11.68 W
2026/03/03 11:00:21.032, 4 %, 11.00 W
2026/03/03 11:00:22.032, 3 %, 11.03 W
2026/03/03 11:00:23.033, 3 %, 10.87 W
2026/03/03 11:00:24.033, 4 %, 10.65 W
2026/03/03 11:00:25.034, 5 %, 10.71 W
2026/03/03 11:00:26.034, 4 %, 10.66 W
2026/03/03 11:00:27.034, 5 %, 10.77 W
2026/03/03 11:00:28.035, 5 %, 10.69 W
2026/03/03 11:00:29.035, 4 %, 10.78 W
2026/03/03 11:00:30.036, 4 %, 11.13 W
2026/03/03 11:00:31.036, 18 %, 11.03 W
2026/03/03 11:00:32.036, 5 %, 11.66 W
2026/03/03 11:00:33.037, 4 %, 10.69 W
2026/03/03 11:00:34.037, 6 %, 8.52 W
2026/03/03 11:00:35.037, 3 %, 7.73 W
2026/03/03 11:00:36.037, 0 %, 10.31 W
2026/03/03 11:00:37.038, 0 %, 10.28 W
2026/03/03 11:00:38.038, 13 %, 10.39 W
2026/03/03 11:00:39.038, 4 %, 11.80 W
2026/03/03 11:00:40.038, 0 %, 11.07 W
2026/03/03 11:00:41.038, 4 %, 11.63 W
2026/03/03 11:00:42.039, 4 %, 11.34 W
2026/03/03 11:00:43.039, 5 %, 10.68 W
2026/03/03 11:00:44.039, 5 %, 10.83 W
2026/03/03 11:00:45.040, 4 %, 10.75 W
2026/03/03 11:00:46.040, 4 %, 10.65 W
2026/03/03 11:00:47.040, 4 %, 10.69 W
2026/03/03 11:00:48.041, 4 %, 10.87 W
2026/03/03 11:00:49.041, 4 %, 10.69 W
2026/03/03 11:00:50.041, 6 %, 10.73 W
2026/03/03 11:00:51.041, 4 %, 11.46 W
2026/03/03 11:00:52.042, 5 %, 11.00 W
2026/03/03 11:00:53.042, 20 %, 11.55 W
2026/03/03 11:00:54.042, 5 %, 11.15 W
2026/03/03 11:00:55.042, 5 %, 8.53 W
2026/03/03 11:00:56.043, 6 %, 5.70 W
2026/03/03 11:00:57.043, 4 %, 8.28 W
2026/03/03 11:00:58.043, 0 %, 10.34 W
2026/03/03 11:00:59.044, 0 %, 10.27 W
2026/03/03 11:01:00.044, 31 %, 10.60 W
2026/03/03 11:01:01.044, 4 %, 11.53 W
2026/03/03 11:01:02.044, 4 %, 11.49 W
2026/03/03 11:01:03.045, 4 %, 11.53 W
2026/03/03 11:01:04.045, 4 %, 11.45 W
2026/03/03 11:01:05.045, 5 %, 10.86 W
2026/03/03 11:01:06.046, 5 %, 11.01 W
2026/03/03 11:01:07.046, 3 %, 10.82 W
2026/03/03 11:01:08.046, 4 %, 10.62 W
2026/03/03 11:01:09.046, 4 %, 10.78 W
2026/03/03 11:01:10.047, 3 %, 10.86 W
2026/03/03 11:01:11.047, 2 %, 10.46 W
2026/03/03 11:01:12.048, 5 %, 10.66 W
2026/03/03 11:01:13.048, 4 %, 10.65 W
2026/03/03 11:01:14.048, 15 %, 11.61 W
2026/03/03 11:01:15.049, 4 %, 11.40 W
2026/03/03 11:01:16.050, 20 %, 11.02 W
2026/03/03 11:01:17.050, 5 %, 11.81 W
2026/03/03 11:01:18.050, 5 %, 10.71 W
2026/03/03 11:01:19.050, 6 %, 8.36 W
2026/03/03 11:01:20.051, 6 %, 5.73 W
2026/03/03 11:01:21.051, 5 %, 5.64 W
2026/03/03 11:01:22.051, 5 %, 5.55 W
2026/03/03 11:01:23.052, 10 %, 5.63 W
2026/03/03 11:01:24.053, 6 %, 5.64 W
2026/03/03 11:01:25.053, 9 %, 6.07 W
2026/03/03 11:01:26.053, 0 %, 10.49 W
2026/03/03 11:01:27.054, 0 %, 10.23 W
2026/03/03 11:01:28.055, 0 %, 10.24 W
2026/03/03 11:01:29.055, 4 %, 11.84 W
2026/03/03 11:01:30.056, 5 %, 11.22 W
2026/03/03 11:01:31.056, 4 %, 11.69 W
2026/03/03 11:01:32.056, 0 %, 11.37 W
2026/03/03 11:01:33.056, 4 %, 11.27 W
2026/03/03 11:01:34.057, 4 %, 10.68 W
2026/03/03 11:01:35.057, 4 %, 10.79 W
2026/03/03 11:01:36.057, 4 %, 10.73 W
2026/03/03 11:01:37.058, 4 %, 10.63 W
2026/03/03 11:01:38.058, 4 %, 10.83 W
2026/03/03 11:01:39.059, 4 %, 10.64 W
2026/03/03 11:01:40.059, 4 %, 10.68 W
