timestamp, utilization.gpu [%], power.draw [W], utilization.memory [%], temperature.gpu
2026/03/03 14:38:05.689, 4 %, 10.93 W,,
2026/03/03 14:38:06.689, 3 %, 10.97 W,,
2026/03/03 14:38:07.689, 2 %, 10.72 W,,
2026/03/03 14:38:08.689, 4 %, 10.76 W,,
2026/03/03 14:38:09.690, 3 %, 11.49 W,,
2026/03/03 14:38:10.690, 2 %, 12.25 W,,
2026/03/03 14:38:11.690, 3 %, 10.70 W,,
2026/03/03 14:38:12.690, 12 %, 11.08 W,,
2026/03/03 14:38:13.691, 2 %, 11.67 W,,
2026/03/03 14:38:14.691, 3 %, 10.89 W,,
2026/03/03 14:38:15.691, 4 %, 7.01 W,,
2026/03/03 14:38:16.691, 7 %, 7.14 W,,
2026/03/03 14:38:17.692, 3 %, 10.94 W,,
2026/03/03 14:38:18.692, 3 %, 10.60 W,,
2026/03/03 14:38:19.692, 0 %, 10.75 W,,
2026/03/03 14:38:20.692, 13 %, 11.84 W,,
2026/03/03 14:38:21.693, 2 %, 10.86 W,,
2026/03/03 14:38:22.693, 2 %, 11.78 W,,
2026/03/03 14:38:23.693, 1 %, 11.61 W,,
2026/03/03 14:38:24.694, 2 %, 11.35 W,,
2026/03/03 14:38:25.694, 2 %, 10.59 W,,
2026/03/03 14:38:26.695, 2 %, 10.73 W,,
2026/03/03 14:38:27.695, 3 %, 10.91 W,,
2026/03/03 14:38:28.695, 2 %, 12.74 W,,
2026/03/03 14:38:29.695, 5 %, 12.03 W,,
2026/03/03 14:38:30.695, 2 %, 11.01 W,,
2026/03/03 14:38:31.695, 13 %, 11.38 W,,
2026/03/03 14:38:32.695, 1 %, 10.83 W,,
2026/03/03 14:38:33.696, 16 %, 11.26 W,,
2026/03/03 14:38:34.696, 0 %, 11.05 W,,
2026/03/03 14:38:35.696, 0 %, 10.45 W,,
2026/03/03 14:38:36.697, 1 %, 5.70 W,,
2026/03/03 14:38:37.697, 0 %, 7.82 W,,
2026/03/03 14:38:38.697, 0 %, 10.66 W,,
2026/03/03 14:38:39.698, 0 %, 10.45 W,,
2026/03/03 14:38:40.698, 0 %, 10.42 W,,
2026/03/03 14:38:41.698, 0 %, 11.72 W,,
2026/03/03 14:38:42.698, 0 %, 10.98 W,,
2026/03/03 14:38:43.699, 1 %, 11.72 W,,
2026/03/03 14:38:44.699, 0 %, 11.12 W,,
2026/03/03 14:38:45.699, 4 %, 11.20 W,,
2026/03/03 14:38:46.699, 5 %, 11.42 W,,
2026/03/03 14:38:47.699, 3 %, 11.25 W,,
2026/03/03 14:38:48.700, 4 %, 11.03 W,,
2026/03/03 14:38:49.700, 4 %, 11.05 W,,
2026/03/03 14:38:50.700, 3 %, 11.02 W,,
2026/03/03 14:38:51.700, 3 %, 11.36 W,,
2026/03/03 14:38:52.701, 3 %, 11.08 W,,
2026/03/03 14:38:53.701, 2 %, 11.43 W,,
2026/03/03 14:38:54.701, 3 %, 11.07 W,,
2026/03/03 14:38:55.701, 16 %, 11.43 W,,
2026/03/03 14:38:56.701, 3 %, 12.15 W,,
2026/03/03 14:38:57.702, 3 %, 10.98 W,,
2026/03/03 14:38:58.702, 4 %, 6.76 W,,
2026/03/03 14:38:59.702, 4 %, 6.21 W,,
2026/03/03 14:39:00.702, 5 %, 6.20 W,,
2026/03/03 14:39:01.702, 5 %, 6.24 W,,
2026/03/03 14:39:02.702, 5 %, 6.42 W,,
2026/03/03 14:39:03.703, 4 %, 6.20 W,,
2026/03/03 14:39:04.703, 8 %, 7.57 W,,
2026/03/03 14:39:05.703, 2 %, 10.82 W,,
2026/03/03 14:39:06.703, 3 %, 10.78 W,,
2026/03/03 14:39:07.703, 2 %, 10.78 W,,
2026/03/03 14:39:08.704, 4 %, 11.76 W,,
2026/03/03 14:39:09.704, 3 %, 11.40 W,,
2026/03/03 14:39:10.704, 1 %, 11.87 W,,
2026/03/03 14:39:11.705, 0 %, 11.56 W,,
2026/03/03 14:39:12.705, 4 %, 11.26 W,,
2026/03/03 14:39:13.705, 2 %, 11.11 W,,
2026/03/03 14:39:14.706, 2 %, 11.02 W,,
2026/03/03 14:39:15.706, 3 %, 10.95 W,,
2026/03/03 14:39:16.706, 3 %, 10.92 W,,
2026/03/03 14:39:17.706, 3 %, 10.99 W,,
2026/03/03 14:39:18.706, 3 %, 11.00 W,,
2026/03/03 14:39:19.706, 4 %, 11.41 W,,
